"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"177",20,6,232,100,2914,16,75,1,"amc gremlin"
"178",23,4,140,78,2592,18.5,75,1,"pontiac astro"
"179",24,4,134,96,2702,13.5,75,3,"toyota corona"
"180",25,4,90,71,2223,16.5,75,2,"volkswagen dasher"
"181",24,4,119,97,2545,17,75,3,"datsun 710"
"182",18,6,171,97,2984,14.5,75,1,"ford pinto"
"183",29,4,90,70,1937,14,75,2,"volkswagen rabbit"
"184",19,6,232,90,3211,17,75,1,"amc pacer"
"185",23,4,115,95,2694,15,75,2,"audi 100ls"
"186",23,4,120,88,2957,17,75,2,"peugeot 504"
"187",22,4,121,98,2945,14.5,75,2,"volvo 244dl"
"188",25,4,121,115,2671,13.5,75,2,"saab 99le"
"189",33,4,91,53,1795,17.5,75,3,"honda civic cvcc"
"190",28,4,107,86,2464,15.5,76,2,"fiat 131"
"191",25,4,116,81,2220,16.9,76,2,"opel 1900"
"192",25,4,140,92,2572,14.9,76,1,"capri ii"
"193",26,4,98,79,2255,17.7,76,1,"dodge colt"
"194",27,4,101,83,2202,15.3,76,2,"renault 12tl"
"195",17.5,8,305,140,4215,13,76,1,"chevrolet chevelle malibu classic"
"196",16,8,318,150,4190,13,76,1,"dodge coronet brougham"
"197",15.5,8,304,120,3962,13.9,76,1,"amc matador"
"198",14.5,8,351,152,4215,12.8,76,1,"ford gran torino"
"199",22,6,225,100,3233,15.4,76,1,"plymouth valiant"
"200",22,6,250,105,3353,14.5,76,1,"chevrolet nova"
"201",24,6,200,81,3012,17.6,76,1,"ford maverick"
"202",22.5,6,232,90,3085,17.6,76,1,"amc hornet"
"203",29,4,85,52,2035,22.2,76,1,"chevrolet chevette"
"204",24.5,4,98,60,2164,22.1,76,1,"chevrolet woody"
"205",29,4,90,70,1937,14.2,76,2,"vw rabbit"
"206",33,4,91,53,1795,17.4,76,3,"honda civic"
"207",20,6,225,100,3651,17.7,76,1,"dodge aspen se"
"208",18,6,250,78,3574,21,76,1,"ford granada ghia"
"209",18.5,6,250,110,3645,16.2,76,1,"pontiac ventura sj"
"210",17.5,6,258,95,3193,17.8,76,1,"amc pacer d/l"
"211",29.5,4,97,71,1825,12.2,76,2,"volkswagen rabbit"
"212",32,4,85,70,1990,17,76,3,"datsun b-210"
"213",28,4,97,75,2155,16.4,76,3,"toyota corolla"
"214",26.5,4,140,72,2565,13.6,76,1,"ford pinto"
"215",20,4,130,102,3150,15.7,76,2,"volvo 245"
"216",13,8,318,150,3940,13.2,76,1,"plymouth volare premier v8"
"217",19,4,120,88,3270,21.9,76,2,"peugeot 504"
"218",19,6,156,108,2930,15.5,76,3,"toyota mark ii"
"219",16.5,6,168,120,3820,16.7,76,2,"mercedes-benz 280s"
"220",16.5,8,350,180,4380,12.1,76,1,"cadillac seville"
"221",13,8,350,145,4055,12,76,1,"chevy c10"
"222",13,8,302,130,3870,15,76,1,"ford f108"
"223",13,8,318,150,3755,14,76,1,"dodge d100"
"224",31.5,4,98,68,2045,18.5,77,3,"honda accord cvcc"
"225",30,4,111,80,2155,14.8,77,1,"buick opel isuzu deluxe"
"226",36,4,79,58,1825,18.6,77,2,"renault 5 gtl"
"227",25.5,4,122,96,2300,15.5,77,1,"plymouth arrow gs"
"228",33.5,4,85,70,1945,16.8,77,3,"datsun f-10 hatchback"
"229",17.5,8,305,145,3880,12.5,77,1,"chevrolet caprice classic"
"230",17,8,260,110,4060,19,77,1,"oldsmobile cutlass supreme"
"231",15.5,8,318,145,4140,13.7,77,1,"dodge monaco brougham"
"232",15,8,302,130,4295,14.9,77,1,"mercury cougar brougham"
"233",17.5,6,250,110,3520,16.4,77,1,"chevrolet concours"
"234",20.5,6,231,105,3425,16.9,77,1,"buick skylark"
"235",19,6,225,100,3630,17.7,77,1,"plymouth volare custom"
"236",18.5,6,250,98,3525,19,77,1,"ford granada"
"237",16,8,400,180,4220,11.1,77,1,"pontiac grand prix lj"
"238",15.5,8,350,170,4165,11.4,77,1,"chevrolet monte carlo landau"
"239",15.5,8,400,190,4325,12.2,77,1,"chrysler cordoba"
"240",16,8,351,149,4335,14.5,77,1,"ford thunderbird"
"241",29,4,97,78,1940,14.5,77,2,"volkswagen rabbit custom"
"242",24.5,4,151,88,2740,16,77,1,"pontiac sunbird coupe"
"243",26,4,97,75,2265,18.2,77,3,"toyota corolla liftback"
"244",25.5,4,140,89,2755,15.8,77,1,"ford mustang ii 2+2"
"245",30.5,4,98,63,2051,17,77,1,"chevrolet chevette"
"246",33.5,4,98,83,2075,15.9,77,1,"dodge colt m/m"
"247",30,4,97,67,1985,16.4,77,3,"subaru dl"
"248",30.5,4,97,78,2190,14.1,77,2,"volkswagen dasher"
"249",22,6,146,97,2815,14.5,77,3,"datsun 810"
"250",21.5,4,121,110,2600,12.8,77,2,"bmw 320i"
"251",21.5,3,80,110,2720,13.5,77,3,"mazda rx-4"
"252",43.1,4,90,48,1985,21.5,78,2,"volkswagen rabbit custom diesel"
"253",36.1,4,98,66,1800,14.4,78,1,"ford fiesta"
"254",32.8,4,78,52,1985,19.4,78,3,"mazda glc deluxe"
"255",39.4,4,85,70,2070,18.6,78,3,"datsun b210 gx"
"256",36.1,4,91,60,1800,16.4,78,3,"honda civic cvcc"
"257",19.9,8,260,110,3365,15.5,78,1,"oldsmobile cutlass salon brougham"
"258",19.4,8,318,140,3735,13.2,78,1,"dodge diplomat"
"259",20.2,8,302,139,3570,12.8,78,1,"mercury monarch ghia"
"260",19.2,6,231,105,3535,19.2,78,1,"pontiac phoenix lj"
"261",20.5,6,200,95,3155,18.2,78,1,"chevrolet malibu"
"262",20.2,6,200,85,2965,15.8,78,1,"ford fairmont (auto)"
"263",25.1,4,140,88,2720,15.4,78,1,"ford fairmont (man)"
"264",20.5,6,225,100,3430,17.2,78,1,"plymouth volare"
"265",19.4,6,232,90,3210,17.2,78,1,"amc concord"
"266",20.6,6,231,105,3380,15.8,78,1,"buick century special"
"267",20.8,6,200,85,3070,16.7,78,1,"mercury zephyr"
"268",18.6,6,225,110,3620,18.7,78,1,"dodge aspen"
"269",18.1,6,258,120,3410,15.1,78,1,"amc concord d/l"
"270",19.2,8,305,145,3425,13.2,78,1,"chevrolet monte carlo landau"
"271",17.7,6,231,165,3445,13.4,78,1,"buick regal sport coupe (turbo)"
"272",18.1,8,302,139,3205,11.2,78,1,"ford futura"
"273",17.5,8,318,140,4080,13.7,78,1,"dodge magnum xe"
"274",30,4,98,68,2155,16.5,78,1,"chevrolet chevette"
"275",27.5,4,134,95,2560,14.2,78,3,"toyota corona"
"276",27.2,4,119,97,2300,14.7,78,3,"datsun 510"
"277",30.9,4,105,75,2230,14.5,78,1,"dodge omni"
"278",21.1,4,134,95,2515,14.8,78,3,"toyota celica gt liftback"
"279",23.2,4,156,105,2745,16.7,78,1,"plymouth sapporo"
"280",23.8,4,151,85,2855,17.6,78,1,"oldsmobile starfire sx"
"281",23.9,4,119,97,2405,14.9,78,3,"datsun 200-sx"
"282",20.3,5,131,103,2830,15.9,78,2,"audi 5000"
"283",17,6,163,125,3140,13.6,78,2,"volvo 264gl"
"284",21.6,4,121,115,2795,15.7,78,2,"saab 99gle"
"285",16.2,6,163,133,3410,15.8,78,2,"peugeot 604sl"
"286",31.5,4,89,71,1990,14.9,78,2,"volkswagen scirocco"
"287",29.5,4,98,68,2135,16.6,78,3,"honda accord lx"
"288",21.5,6,231,115,3245,15.4,79,1,"pontiac lemans v6"
"289",19.8,6,200,85,2990,18.2,79,1,"mercury zephyr 6"
"290",22.3,4,140,88,2890,17.3,79,1,"ford fairmont 4"
"291",20.2,6,232,90,3265,18.2,79,1,"amc concord dl 6"
"292",20.6,6,225,110,3360,16.6,79,1,"dodge aspen 6"
"293",17,8,305,130,3840,15.4,79,1,"chevrolet caprice classic"
"294",17.6,8,302,129,3725,13.4,79,1,"ford ltd landau"
"295",16.5,8,351,138,3955,13.2,79,1,"mercury grand marquis"
"296",18.2,8,318,135,3830,15.2,79,1,"dodge st. regis"
"297",16.9,8,350,155,4360,14.9,79,1,"buick estate wagon (sw)"
"298",15.5,8,351,142,4054,14.3,79,1,"ford country squire (sw)"
"299",19.2,8,267,125,3605,15,79,1,"chevrolet malibu classic (sw)"
"300",18.5,8,360,150,3940,13,79,1,"chrysler lebaron town @ country (sw)"
"301",31.9,4,89,71,1925,14,79,2,"vw rabbit custom"
"302",34.1,4,86,65,1975,15.2,79,3,"maxda glc deluxe"
"303",35.7,4,98,80,1915,14.4,79,1,"dodge colt hatchback custom"
"304",27.4,4,121,80,2670,15,79,1,"amc spirit dl"
"305",25.4,5,183,77,3530,20.1,79,2,"mercedes benz 300d"
"306",23,8,350,125,3900,17.4,79,1,"cadillac eldorado"
"307",27.2,4,141,71,3190,24.8,79,2,"peugeot 504"
"308",23.9,8,260,90,3420,22.2,79,1,"oldsmobile cutlass salon brougham"
"309",34.2,4,105,70,2200,13.2,79,1,"plymouth horizon"
"310",34.5,4,105,70,2150,14.9,79,1,"plymouth horizon tc3"
"311",31.8,4,85,65,2020,19.2,79,3,"datsun 210"
"312",37.3,4,91,69,2130,14.7,79,2,"fiat strada custom"
"313",28.4,4,151,90,2670,16,79,1,"buick skylark limited"
"314",28.8,6,173,115,2595,11.3,79,1,"chevrolet citation"
"315",26.8,6,173,115,2700,12.9,79,1,"oldsmobile omega brougham"
"316",33.5,4,151,90,2556,13.2,79,1,"pontiac phoenix"
"317",41.5,4,98,76,2144,14.7,80,2,"vw rabbit"
"318",38.1,4,89,60,1968,18.8,80,3,"toyota corolla tercel"
"319",32.1,4,98,70,2120,15.5,80,1,"chevrolet chevette"
"320",37.2,4,86,65,2019,16.4,80,3,"datsun 310"
"321",28,4,151,90,2678,16.5,80,1,"chevrolet citation"
"322",26.4,4,140,88,2870,18.1,80,1,"ford fairmont"
"323",24.3,4,151,90,3003,20.1,80,1,"amc concord"
"324",19.1,6,225,90,3381,18.7,80,1,"dodge aspen"
"325",34.3,4,97,78,2188,15.8,80,2,"audi 4000"
"326",29.8,4,134,90,2711,15.5,80,3,"toyota corona liftback"
"327",31.3,4,120,75,2542,17.5,80,3,"mazda 626"
"328",37,4,119,92,2434,15,80,3,"datsun 510 hatchback"
"329",32.2,4,108,75,2265,15.2,80,3,"toyota corolla"
"330",46.6,4,86,65,2110,17.9,80,3,"mazda glc"
"331",27.9,4,156,105,2800,14.4,80,1,"dodge colt"
"332",40.8,4,85,65,2110,19.2,80,3,"datsun 210"
"333",44.3,4,90,48,2085,21.7,80,2,"vw rabbit c (diesel)"
"334",43.4,4,90,48,2335,23.7,80,2,"vw dasher (diesel)"
"335",36.4,5,121,67,2950,19.9,80,2,"audi 5000s (diesel)"
"336",30,4,146,67,3250,21.8,80,2,"mercedes-benz 240d"
"337",44.6,4,91,67,1850,13.8,80,3,"honda civic 1500 gl"
"338",40.9,4,85,NA,1835,17.3,80,2,"renault lecar deluxe"
"339",33.8,4,97,67,2145,18,80,3,"subaru dl"
"340",29.8,4,89,62,1845,15.3,80,2,"vokswagen rabbit"
"341",32.7,6,168,132,2910,11.4,80,3,"datsun 280-zx"
"342",23.7,3,70,100,2420,12.5,80,3,"mazda rx-7 gs"
"343",35,4,122,88,2500,15.1,80,2,"triumph tr7 coupe"
"344",23.6,4,140,NA,2905,14.3,80,1,"ford mustang cobra"
"345",32.4,4,107,72,2290,17,80,3,"honda accord"
"346",27.2,4,135,84,2490,15.7,81,1,"plymouth reliant"
"347",26.6,4,151,84,2635,16.4,81,1,"buick skylark"
"348",25.8,4,156,92,2620,14.4,81,1,"dodge aries wagon (sw)"
"349",23.5,6,173,110,2725,12.6,81,1,"chevrolet citation"
"350",30,4,135,84,2385,12.9,81,1,"plymouth reliant"
"351",39.1,4,79,58,1755,16.9,81,3,"toyota starlet"
"352",39,4,86,64,1875,16.4,81,1,"plymouth champ"
"353",35.1,4,81,60,1760,16.1,81,3,"honda civic 1300"
"354",32.3,4,97,67,2065,17.8,81,3,"subaru"
"355",37,4,85,65,1975,19.4,81,3,"datsun 210 mpg"
"356",37.7,4,89,62,2050,17.3,81,3,"toyota tercel"
"357",34.1,4,91,68,1985,16,81,3,"mazda glc 4"
"358",34.7,4,105,63,2215,14.9,81,1,"plymouth horizon 4"
"359",34.4,4,98,65,2045,16.2,81,1,"ford escort 4w"
"360",29.9,4,98,65,2380,20.7,81,1,"ford escort 2h"
"361",33,4,105,74,2190,14.2,81,2,"volkswagen jetta"
"362",34.5,4,100,NA,2320,15.8,81,2,"renault 18i"
"363",33.7,4,107,75,2210,14.4,81,3,"honda prelude"
"364",32.4,4,108,75,2350,16.8,81,3,"toyota corolla"
"365",32.9,4,119,100,2615,14.8,81,3,"datsun 200sx"
"366",31.6,4,120,74,2635,18.3,81,3,"mazda 626"
"367",28.1,4,141,80,3230,20.4,81,2,"peugeot 505s turbo diesel"
"368",NA,4,121,110,2800,15.4,81,2,"saab 900s"
"369",30.7,6,145,76,3160,19.6,81,2,"volvo diesel"
"370",25.4,6,168,116,2900,12.6,81,3,"toyota cressida"
"371",24.2,6,146,120,2930,13.8,81,3,"datsun 810 maxima"
"372",22.4,6,231,110,3415,15.8,81,1,"buick century"
"373",26.6,8,350,105,3725,19,81,1,"oldsmobile cutlass ls"
"374",20.2,6,200,88,3060,17.1,81,1,"ford granada gl"
"375",17.6,6,225,85,3465,16.6,81,1,"chrysler lebaron salon"
"376",28,4,112,88,2605,19.6,82,1,"chevrolet cavalier"
"377",27,4,112,88,2640,18.6,82,1,"chevrolet cavalier wagon"
"378",34,4,112,88,2395,18,82,1,"chevrolet cavalier 2-door"
"379",31,4,112,85,2575,16.2,82,1,"pontiac j2000 se hatchback"
"380",29,4,135,84,2525,16,82,1,"dodge aries se"
"381",27,4,151,90,2735,18,82,1,"pontiac phoenix"
"382",24,4,140,92,2865,16.4,82,1,"ford fairmont futura"
"383",23,4,151,NA,3035,20.5,82,1,"amc concord dl"
"384",36,4,105,74,1980,15.3,82,2,"volkswagen rabbit l"
"385",37,4,91,68,2025,18.2,82,3,"mazda glc custom l"
"386",31,4,91,68,1970,17.6,82,3,"mazda glc custom"
"387",38,4,105,63,2125,14.7,82,1,"plymouth horizon miser"
"388",36,4,98,70,2125,17.3,82,1,"mercury lynx l"
"389",36,4,120,88,2160,14.5,82,3,"nissan stanza xe"
"390",36,4,107,75,2205,14.5,82,3,"honda accord"
"391",34,4,108,70,2245,16.9,82,3,"toyota corolla"
"392",38,4,91,67,1965,15,82,3,"honda civic"
"393",32,4,91,67,1965,15.7,82,3,"honda civic (auto)"
"394",38,4,91,67,1995,16.2,82,3,"datsun 310 gx"
"395",25,6,181,110,2945,16.4,82,1,"buick century limited"
"396",38,6,262,85,3015,17,82,1,"oldsmobile cutlass ciera (diesel)"
"397",26,4,156,92,2585,14.5,82,1,"chrysler lebaron medallion"
"398",22,6,232,112,2835,14.7,82,1,"ford granada l"
"399",32,4,144,96,2665,13.9,82,3,"toyota celica gt"
"400",36,4,135,84,2370,13,82,1,"dodge charger 2.2"
"401",27,4,151,90,2950,17.3,82,1,"chevrolet camaro"
"402",27,4,140,86,2790,15.6,82,1,"ford mustang gl"
"403",44,4,97,52,2130,24.6,82,2,"vw pickup"
"404",32,4,135,84,2295,11.6,82,1,"dodge rampage"
"405",28,4,120,79,2625,18.6,82,1,"ford ranger"
"406",31,4,119,82,2720,19.4,82,1,"chevy s-10"
